id,last_name,first_name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_y_position,avg_batter_x_position,competitive_swings
519317,Stanton, Giancarlo,R,80.62020103,27.92891778,10.46551169,-4.249248847,0.620535714,-0.987856882,25.85092222,26.8387791,33.79211283,448
665833,Cruz, Oneil,L,78.78448445,33.44867323,9.17385835,-7.292548966,0.477941176,7.539536802,35.3677317,27.82819489,26.72313814,816
691406,Caminero, Junior,R,78.53776963,26.21102383,7.998660224,-5.322043651,0.593950504,7.691020536,35.92782053,28.23679999,28.63693533,1091
656180,Adams, Riley,R,78.30455994,34.63606297,8.452584134,-1.02663533,0.404,2.113820518,30.64440343,28.53058291,29.03788605,500
691023,Walker, Jordan,R,78.06925752,31.4153593,6.175581937,-5.324820443,0.476676385,6.269504103,30.06573997,23.79623587,31.75773004,686
678877,Noel, Jhonkensy,R,77.86727412,29.09653185,6.732518843,-5.01234405,0.431372549,6.747904456,35.68758949,28.93968503,33.51585357,306
666176,Adell, Jo,R,77.61388806,33.8299898,7.995368342,-5.874203569,0.495155039,0.06296638,26.14700721,26.08404083,28.0949886,1032
695506,Caglianone, Jac,L,77.40973337,28.47434797,8.531603093,-4.051575848,0.494897959,10.9725738,32.86034696,21.88777316,28.97923903,392
656941,Schwarber, Kyle,L,77.31624452,30.31374415,14.57328454,-5.794832329,0.643233743,12.35007892,33.4224702,21.07239127,25.29905976,1138
671286,Rodríguez, Johnathan,R,77.27299992,31.58991055,7.346176027,-2.59859744,0.292682927,5.147732474,34.82320118,29.67546871,29.06764876,123
701762,Kurtz, Nick,L,77.21619827,39.08201892,14.22190063,1.817599942,0.480769231,1.321653858,24.75380355,23.43214969,27.74125382,728
695657,Montgomery, Colson,L,77.0448783,32.84445105,11.50177722,-8.664327096,0.524291498,2.61578213,34.85754092,32.24175879,28.11649596,494
592450,Judge, Aaron,R,76.9921978,38.42581868,14.07929036,-6.045215135,0.508374384,4.31641971,30.55469975,26.23828004,33.09666938,1015
665489,Guerrero Jr., Vladimir,R,76.66446348,27.4000908,1.242051246,-4.421206515,0.306364617,6.576061365,34.41593865,27.83987728,28.98723299,927
670242,Wallner, Matt,L,76.56715704,28.22117164,12.50809011,-6.206166174,0.565656566,10.56900607,37.33370608,26.76470002,31.35599548,693
641343,Bauers, Jake,L,76.45248347,34.46441685,12.05685147,-2.968229208,0.5,-0.259911533,29.40599214,29.66590367,26.45737299,346
677594,Rodríguez, Julio,R,76.43733469,31.72489163,6.907679394,-1.444045942,0.46369637,11.95696993,32.28875414,20.33178421,29.70519577,1212
660670,Acuña Jr., Ronald,R,76.41426866,38.71279583,11.87433522,6.162005269,0.509193777,-1.070137546,30.19999885,31.27013639,25.48062668,707
670541,Alvarez, Yordan,L,76.13267655,36.6846047,10.17503348,-4.940212251,0.405063291,10.37992311,36.07786475,25.69794164,28.16584045,316
669003,Mitchell, Garrett,L,76.11789602,31.70311839,9.975928342,7.294486657,0.644067797,-4.218188966,27.66118398,31.87937294,28.02792305,118
